"filename", "language", "SCSS", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\DAVID\Desktop\Designo\src\components\Portfolio.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\DAVID\Desktop\Designo\src\components\Portfolio.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\DAVID\Desktop\Designo\src\components\Portfolio.scss", "SCSS", 47, 0, 0, 0, 0, 1, 7, 55
"c:\Users\DAVID\Desktop\Designo\src\components\Qualities.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\DAVID\Desktop\Designo\src\components\Qualities.scss", "SCSS", 38, 0, 0, 0, 0, 1, 7, 46
"c:\Users\DAVID\Desktop\Designo\src\data.json", "JSON", 0, 0, 0, 73, 0, 0, 2, 75
"c:\Users\DAVID\Desktop\Designo\src\index.css", "CSS", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\DAVID\Desktop\Designo\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\DAVID\Desktop\Designo\src\index.scss", "SCSS", 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\DAVID\Desktop\Designo\src\pages\about\About.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\DAVID\Desktop\Designo\src\pages\contact\Contact.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\DAVID\Desktop\Designo\src\pages\home\Home.css", "CSS", 0, 0, 68, 0, 0, 0, 1, 69
"c:\Users\DAVID\Desktop\Designo\src\pages\home\Home.js", "JavaScript", 0, 44, 0, 0, 0, 2, 3, 49
"c:\Users\DAVID\Desktop\Designo\src\pages\home\Home.scss", "SCSS", 77, 0, 0, 0, 0, 5, 10, 92
"c:\Users\DAVID\Desktop\Designo\src\pages\locations\Location.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\DAVID\Desktop\Designo\src\styles\_utils.scss", "SCSS", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\DAVID\Desktop\Designo\src\styles\_variables.scss", "SCSS", 3, 0, 0, 0, 0, 1, 1, 5
"Total", "-", 295, 229, 119, 73, 33, 38, 95, 882
